cpf,nome,email,telefone,renda_estimada,score_credito
01075691773,Victor Silva,victor.137@email.com,82959418734,10345,499
64282777946,Gustavo Costa,gustavo.costa165@email.com,11923939877,5430,421
71215100972,Carla Lima,carla.lima166@email.com,61941693090,19608,308
68590636322,Juliana Gomes,juliana.gomes167@email.com,61995806793,16758,732
57342665949,Bruno Ribeiro,bruno.ribeiro168@email.com,11910486364,24035,709
01413392446,Bruno Almeida,bruno.almeida169@email.com,21915477935,19037,592
16303829992,Mariana Barros,mariana.barros170@email.com,11987436664,11444,681
90236452132,Carla Barros,carla.barros171@email.com,31950005725,16198,670
57977581857,Bruno Oliveira,bruno.oliveira172@email.com,71978892938,24683,849
52557449029,Renata Ribeiro,renata.ribeiro173@email.com,41977017691,9892,666
01977686288,Andre Almeida,andre.almeida174@email.com,61983792525,12851,457
58281844791,Andre Barros,andre.barros175@email.com,11980027484,20405,517
52876684604,Mariana Freitas,mariana.freitas176@email.com,21954483137,7483,581
52901983269,Renata Torres,renata.torres177@email.com,21915428504,24931,716
66253864442,Diego Silva,diego.silva178@email.com,41946853660,3598,407
94101932530,Ana Torres,ana.torres179@email.com,71915286985,6574,775
23988789884,Mariana Silva,mariana.silva180@email.com,31966305982,2932,862
06753807608,Patricia Souza,patricia.souza181@email.com,41916526298,16285,341
60960011387,Diego Martins,diego.martins182@email.com,61937178533,19247,510
79169219240,Renata Rocha,renata.rocha183@email.com,21997973028,14357,722
70698936559,Rafael Ribeiro,rafael.ribeiro184@email.com,41995678642,6444,338
33667548228,Gustavo Souza,gustavo.souza185@email.com,41952561201,23676,535
50318369185,Rafael Freitas,rafael.freitas186@email.com,31900138466,15479,640
11075033917,Fernanda Lima,fernanda.lima187@email.com,61924655579,6205,691
22516246080,Juliana Lima,juliana.lima188@email.com,21995537590,24811,538
01285160964,Juliana Silva,juliana.silva189@email.com,31985028136,10482,696
04332843458,Gustavo Freitas,gustavo.freitas190@email.com,31980836884,23270,320
33192473962,Renata Costa,renata.costa191@email.com,71988407267,12553,530
19493347431,Juliana Torres,juliana.torres192@email.com,21946084767,20852,574
83134644244,Gustavo Teixeira,gustavo.teixeira193@email.com,31959038423,19268,876
13314287946,Felipe Almeida,felipe.almeida194@email.com,71942211248,20626,741
66857747568,Ana Lima,ana.lima195@email.com,11954279679,4745,730
26856009003,Lucas Costa,lucas.costa196@email.com,61996576119,19034,532
67529615027,Rafael Teixeira,rafael.teixeira197@email.com,51981740483,4316,601
37132765376,Ana Martins,ana.martins198@email.com,31922770980,13657,428
16843450349,Felipe Oliveira,felipe.oliveira199@email.com,51918246111,3221,442
70569267978,Antonio Andrade,antonio.andrade@email.com,21974765528,4500,800
50760401306,Daniel Lima,daniel.lima@email.com,85942556640,20100,999
